boro,nta2010,ntaname2010,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Brooklyn,BK77,Bushwick North,154.0,169.0,92.0,56.0,44.0,128.0,65.0,126.0,167.0,243.0,139.0,241.0,384.0,163.0,564.0,304.0,177.0,19267,19267,20722,20722
Queens,QN20,Ridgewood,69.0,145.0,38.0,66.0,6.0,5.0,22.0,69.0,170.0,119.0,112.0,166.0,115.0,241.0,221.0,75.0,506.0,25731,25731,26573,26573
Brooklyn,BK46,Ocean Parkway South,26.0,27.0,-6.0,0.0,15.0,-5.0,-5.0,1.0,4.0,11.0,-3.0,55.0,-6.0,-6.0,12.0,10.0,-1.0,8065,8065,8158,8158
Queens,QN68,Queensbridge-Ravenswood-Long Island City,-9.0,-9.0,108.0,-8.0,229.0,165.0,422.0,328.0,672.0,550.0,250.0,63.0,165.0,95.0,2449.0,1850.0,1537.0,7952,8036,10722,10806
Bronx,BX08,West Farms-Bronx River,12.0,12.0,12.0,9.0,0.0,-6.0,11.0,3.0,10.0,4.0,-2.0,0.0,43.0,8.0,296.0,13.0,23.0,12749,12749,12802,12802
Bronx,BX46,Parkchester,,,3.0,0.0,15.0,6.0,0.0,,,26.0,-5.0,20.0,55.0,23.0,249.0,26.0,59.0,13327,13327,13392,13392
Bronx,BX55,Soundview-Bruckner,3.0,3.0,12.0,9.0,7.0,0.0,3.0,103.0,1.0,5.0,9.0,73.0,349.0,5.0,396.0,0.0,7.0,12537,12537,12762,12762
Queens,QN19,Glendale,-1.0,0.0,-1.0,0.0,4.0,1.0,20.0,1.0,5.0,-2.0,3.0,-12.0,16.0,7.0,75.0,2.0,26.0,12759,12759,12777,12777
Bronx,BX28,Van Cortlandt Village,8.0,10.0,8.0,80.0,15.0,-3.0,30.0,71.0,80.0,-6.0,289.0,-3.0,343.0,33.0,364.0,215.0,9.0,18670,18670,19239,19239
Manhattan,MN15,Clinton,214.0,216.0,1655.0,198.0,1516.0,151.0,1447.0,1058.0,517.0,1243.0,343.0,63.0,589.0,43.0,379.0,58.0,858.0,30592,30592,38997,38997
Queens,QN34,Queens Village,15.0,19.0,13.0,12.0,13.0,18.0,4.0,1.0,0.0,-1.0,11.0,13.0,21.0,9.0,24.0,3.0,30.0,16143,16143,16242,16242
Queens,QN21,Middle Village,27.0,32.0,11.0,8.0,5.0,12.0,7.0,3.0,5.0,7.0,99.0,29.0,19.0,0.0,52.0,-9.0,33.0,15966,15966,16179,16179
Bronx,BX62,Woodlawn-Wakefield,14.0,17.0,23.0,69.0,7.0,74.0,7.0,10.0,15.0,13.0,41.0,48.0,515.0,86.0,317.0,9.0,48.0,16677,16677,16998,16998
Bronx,BX07,Bronxdale,27.0,25.0,12.0,7.0,19.0,-4.0,13.0,-1.0,6.0,18.0,0.0,30.0,181.0,144.0,340.0,88.0,30.0,14495,14495,14622,14622
Brooklyn,BK85,East New York (Pennsylvania Ave),11.0,11.0,126.0,82.0,1.0,5.0,162.0,181.0,20.0,4.0,258.0,198.0,532.0,28.0,165.0,7.0,60.0,10508,10508,11556,11556
Queens,QN55,South Ozone Park,30.0,40.0,44.0,24.0,35.0,29.0,24.0,12.0,4.0,29.0,27.0,37.0,36.0,-1.0,94.0,17.0,81.0,23011,23011,23306,23306
Brooklyn,BK27,Bath Beach,14.0,14.0,17.0,3.0,9.0,24.0,8.0,3.0,-4.0,7.0,10.0,34.0,26.0,41.0,86.0,9.0,7.0,12744,12744,12869,12869
Brooklyn,BK28,Bensonhurst West,43.0,50.0,25.0,40.0,53.0,3.0,28.0,54.0,52.0,70.0,66.0,16.0,46.0,-1.0,576.0,84.0,20.0,33939,33939,34389,34389
Queens,QN30,Maspeth,36.0,42.0,29.0,1.0,34.0,6.0,36.0,20.0,8.0,5.0,11.0,4.0,8.0,0.0,58.0,29.0,62.0,11854,11854,12044,12044
Queens,QN23,College Point,72.0,90.0,97.0,76.0,49.0,18.0,42.0,-2.0,5.0,8.0,219.0,13.0,33.0,18.0,55.0,7.0,41.0,8423,8423,9020,9020
Bronx,BX98,Rikers Island,,,,,,,,,,,,,,,,,,0,0,0,0
Staten Island,SI48,Arden Heights,12.0,21.0,50.0,44.0,42.0,31.0,24.0,12.0,24.0,19.0,27.0,19.0,9.0,7.0,43.0,0.0,10.0,9199,9199,9503,9503
Bronx,BX52,Schuylerville-Throgs Neck-Edgewater Park,9.0,13.0,92.0,9.0,19.0,-2.0,0.0,12.0,-11.0,16.0,18.0,17.0,8.0,10.0,31.0,9.0,36.0,17874,17874,18053,18053
Staten Island,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,30.0,45.0,23.0,53.0,54.0,56.0,43.0,68.0,50.0,51.0,74.0,65.0,71.0,4.0,121.0,8.0,74.0,10608,10608,11175,11175
Manhattan,MN25,Battery Park City-Lower Manhattan,416.0,420.0,1237.0,456.0,178.0,-32.0,767.0,403.0,613.0,897.0,-8.0,428.0,549.0,-3.0,1794.0,180.0,105.0,24256,24256,29611,29611
